seconds,sensor_0,sensor_1,actuator_0,target
27.1000,26.3530,26.0730,30.0000,"25.0"
27.1200,26.3530,26.0990,30.0000,"25.0"
27.1600,26.3280,26.0730,30.0000,"25.0"
27.1800,26.3530,26.0990,30.0000,"25.0"
27.2200,26.3530,26.0730,30.0000,"25.0"
27.2600,26.3280,26.0730,30.0000,"25.0"
27.2800,26.3280,26.0990,30.0000,"25.0"
27.3200,26.3530,26.0730,30.0000,"25.0"
27.3400,26.3530,26.0990,30.0000,"25.0"
27.3800,26.3530,26.0990,30.0000,"25.0"
27.4000,26.3530,26.0990,30.0000,"25.0"
27.4400,26.3280,26.0730,30.0000,"25.0"
27.4600,26.3790,26.0730,30.0000,"25.0"
27.5000,26.3790,26.0730,30.0000,"25.0"
27.5200,26.3530,26.0730,30.0000,"25.0"
27.5600,26.3530,26.0990,30.0000,"25.0"
27.5800,26.3530,26.0730,30.0000,"25.0"
27.6200,26.3280,26.0990,30.0000,"25.0"
27.6400,26.3530,26.0990,30.0000,"25.0"
27.6800,26.3530,26.0990,30.0000,"25.0"
27.7001,26.3530,26.0990,30.0000,"25.0"
27.7400,26.3530,26.0990,30.0000,"25.0"
27.7600,26.3530,26.0990,30.0000,"25.0"
27.8000,26.3790,26.0990,30.0000,"25.0"
27.8200,26.3530,26.0990,30.0000,"25.0"
27.8600,26.3280,26.0990,30.0000,"25.0"
27.8800,26.3790,26.0990,30.0000,"25.0"
27.9200,26.3530,26.0990,30.0000,"25.0"
27.9400,26.3280,26.0730,30.0000,"25.0"
27.9800,26.3530,26.0730,30.0000,"25.0"
28.0000,26.3030,26.0730,30.0000,"25.0"
28.0400,26.3280,26.0730,30.0000,"25.0"
28.0600,26.3030,26.0990,30.0000,"25.0"
28.1000,26.3530,26.0990,30.0000,"25.0"
28.1200,26.3530,26.0990,30.0000,"25.0"
28.1600,26.3530,26.0990,30.0000,"25.0"
28.1800,26.3790,26.0990,30.0000,"25.0"
28.2200,26.3280,26.0990,30.0000,"25.0"
28.2400,26.3530,26.0990,30.0000,"25.0"
28.2800,26.3530,26.0990,30.0000,"25.0"
28.3000,26.3280,26.0990,30.0000,"25.0"
28.3400,26.3530,26.0990,30.0000,"25.0"
28.3600,26.3280,26.0990,30.0000,"25.0"
28.4000,26.3530,26.0990,30.0000,"25.0"
28.4200,26.3530,26.0990,30.0000,"25.0"
28.4600,26.3790,26.0730,30.0000,"25.0"
28.4800,26.3790,26.0990,30.0000,"25.0"
28.5200,26.3530,26.0990,30.0000,"25.0"
28.5400,26.3530,26.1240,30.0000,"25.0"
28.5800,26.3530,26.0990,30.0000,"25.0"
28.6000,26.3790,26.0990,30.0000,"25.0"
28.6400,26.3530,26.0990,30.0000,"25.0"
28.6600,26.4040,26.0990,30.0000,"25.0"
28.7000,26.3280,26.0990,30.0000,"25.0"
28.7200,26.3790,26.1240,30.0000,"25.0"
28.7600,26.3530,26.0990,30.0000,"25.0"
28.7800,26.3530,26.0990,30.0000,"25.0"
28.8200,26.3530,26.0990,30.0000,"25.0"
28.8401,26.3790,26.0990,30.0000,"25.0"
28.8800,26.3530,26.0990,30.0000,"25.0"
28.9000,26.3530,26.0730,30.0000,"25.0"
28.9400,26.3790,26.0990,30.0000,"25.0"
28.9600,26.3790,26.0990,30.0000,"25.0"
29.0000,26.3530,26.0990,30.0000,"25.0"
29.0200,26.3790,26.1240,30.0000,"25.0"
29.0600,26.3530,26.0990,30.0000,"25.0"
