time,temp_a,temp_b
00:45.902,25.59,25.8
00:46.028,25.59,25.8
00:46.152,25.59,25.8
00:46.275,25.59,25.8
00:46.398,25.59,25.8
00:46.524,25.59,25.8
00:46.647,25.59,25.8
00:46.770,25.59,25.8
00:46.893,25.59,25.8
00:47.020,25.59,25.8
00:47.143,25.59,25.8
00:47.266,25.59,25.81
00:47.389,25.59,25.8
00:47.516,25.59,25.8
00:47.639,25.59,25.81
00:47.762,25.59,25.81
00:47.888,25.59,25.81
00:48.011,25.59,25.82
00:48.134,25.59,25.82
00:48.257,25.59,25.82
00:48.384,25.59,25.83
00:48.507,25.59,25.83
00:48.630,25.6,25.83
00:48.753,25.59,25.84
00:48.879,25.6,25.84
00:49.003,25.6,25.85
00:49.125,25.6,25.85
00:49.248,25.6,25.86
00:49.375,25.6,25.86
00:49.498,25.6,25.87
00:49.621,25.6,25.87
00:49.748,25.6,25.88
00:49.871,25.6,25.88
00:49.994,25.6,25.89
00:50.117,25.61,25.89
00:50.243,25.62,25.89
00:50.366,25.62,25.89
00:50.489,25.62,25.89
00:50.612,25.62,25.89
00:50.739,25.63,25.89
00:50.862,25.63,25.9
00:50.985,25.64,25.9
00:51.108,25.64,25.9
00:51.235,25.65,25.9
00:51.358,25.65,25.9
00:51.480,25.66,25.9
00:51.607,25.66,25.9
00:51.730,25.67,25.9
00:51.853,25.68,25.9
00:51.976,25.68,25.9
00:52.103,25.68,25.9
00:52.226,25.69,25.9
00:52.349,25.69,25.9
00:52.472,25.69,25.9
00:52.598,25.69,25.9
00:52.722,25.69,25.9
00:52.845,25.69,25.9
00:52.967,25.69,25.9
00:53.094,25.69,25.9
00:53.217,25.69,25.9
00:53.340,25.69,25.9
00:53.467,25.69,25.9
00:53.590,25.69,25.9
00:53.713,25.69,25.9
00:53.836,25.69,25.9
00:53.962,25.69,25.9
00:54.086,25.69,25.9
00:54.208,25.69,25.9
00:54.331,25.69,25.9
00:54.458,25.69,25.9
00:54.581,25.69,25.9
00:54.704,25.69,25.91
00:54.827,25.69,25.91
00:54.954,25.7,25.91
00:55.077,25.7,25.91
00:55.200,25.7,25.91
00:55.326,25.7,25.92
00:55.449,25.7,25.92
00:55.572,25.7,25.92
00:55.695,25.7,25.93
00:55.822,25.7,25.94
00:55.945,25.7,25.94
00:56.068,25.7,25.95
00:56.191,25.71,25.95
00:56.317,25.71,25.96
00:56.441,25.71,25.96
00:56.564,25.71,25.97
00:56.687,25.71,25.97
00:56.813,25.72,25.98
00:56.936,25.72,25.99
00:57.059,25.73,25.99
00:57.182,25.74,25.99
00:57.309,25.74,25.99
00:57.432,25.74,26.0
00:57.555,25.75,26.0
00:57.681,25.75,26.0
00:57.804,25.76,26.0
